,C4H10_3200K_1/,C4H10_3200K_2/,C4H10_3300K_1/,C4H10_3300K_2/,C4H10_3400K_1/,C4H10_3400K_2/,C4H10_3500K_1/,C4H10_3500K_2/,C4H10_3600K_1/,C4H10_3600K_2/,C4H10_4000K_1/,C4H10_4000K_2/,C4H10_4500K_1/,C4H10_4500K_2/,C4H10_5000K_1/,C4H10_5000K_2/,C2H6_3300K_1/,C2H6_3300K_2/,C2H6_4000K_1/,C2H6_4000K_2/,CH4_3600K/,CH4_3600K_2/,C8H18_3300K/,C8H18_3300K_2/,mix_3500K_1/,mix_3500K_2/,CH4_4500K_1/,CH4_4500K_2/,C4H10_3600K_1120at_1/,C4H10_3600K_1120at_2/,C2H6_4000K_1280at_1/,C2H6_4000K_1280at_2/,C8H18_4000K_1040at_1/,C8H18_4000K_1040at_2/
Degree 1-1,0.0787227286172247,0.06242484637115628,0.051340530675424136,0.10136086795321578,0.06479342958344145,0.060718988785938996,0.07825408528921604,0.03706810382860073,0.09184472183311601,0.06464781159852755,0.05449576792714374,0.06744468863914908,0.07557316645567558,0.08467394166716935,0.12639025807986734,0.12268401609442686,0.025608069526892478,0.027609913164732835,0.09351183960432276,0.11154881218102697,0.09234856737500931,0.04680488234905072,0.0340805671835266,0.07261223130852824,0.053002388902664815,0.03413998700670366,0.08030571548548218,0.08518017191121757,0.05908992729319683,0.07238458304884479,0.04838709184948678,0.05878288875638227,0.11551830425091458,0.16092719521221388
Degree 1-2,0.03322211126331247,0.02808597566594879,0.041672591582608394,0.027209549234101668,0.02942919169133585,0.04990277462587611,0.040447272004350825,0.08769925763649593,0.05271435955192879,0.05731663833824999,0.07163132550465187,0.06250504549597334,0.045887533315141345,0.06355009324487064,0.04641595093070286,0.040295912840694,0.030732336969426805,0.024971032751977578,0.0460017218984633,0.05324704322787811,0.09502530108905305,0.09767283111494358,0.035465409153258715,0.03943912561259957,0.044062599470638425,0.05330421571005439,0.059290206844814716,0.05609226185047432,0.044968544095151226,0.04308163924301443,0.04103483603507336,0.049851194939382046,0.09603446503468771,0.06128241208569346
Degree 1-3,0.04826306775691503,0.052215270021023864,0.08923210907015407,0.05312947512877089,0.12166401120872898,0.06963588500511515,0.0601058622371599,0.059464947036740524,0.07633052813948149,0.09162886975178786,0.09744007389656031,0.09931100401018936,0.09380358493446894,0.07538149091388696,0.10227321409810944,0.06891190262550947,0.05370169197935323,0.05795942254441914,0.10598682137559302,0.09243448840196944,,,0.06055257039174329,0.07254055928951529,0.11292860365942935,0.25131798735616995,,,0.08276204789684195,0.09560384524789901,0.12299854853920272,0.1260681611868162,0.09579445244546764,0.08995306872952097
Degree 1-4,0.04626029465654552,0.2177053153437156,0.12177215977425189,0.08959228245557424,,,0.1282876336989449,0.117710202762431,,0.1197127096868581,,0.12784598045153245,,,,,0.16465883093680653,0.20613507709716475,,,,,0.20670799724727118,,,,,,0.2317507770112106,0.1405416872135522,,,0.1864486991488833,0.16374459587429985
Degree 2-2,0.04210285865411514,0.027198471651685794,0.027080518122592587,0.04320504130209521,0.07534762815726057,0.054185076950412255,0.09421027388450287,0.1330428627833276,0.06241466570493543,0.05255520680790286,0.04924747316783602,0.06015567418614685,0.06558828436080343,0.06855313904205441,0.06884211930649928,0.06708158354423512,0.04517307214313808,0.06312714097324772,0.08320448106446765,0.08509427133052484,,0.2772304010602905,0.06728115612487967,0.056091587945074656,0.06878370356386414,0.03861476113874848,0.14547971232181983,0.16032542947410794,0.07596288722499883,0.07358224982817083,0.09302175209712242,0.07328031267708862,0.06318137852221789,0.05406169452322027
Degree 2-3,0.03162105412804908,0.07381273897552205,0.048987729977481326,0.04272014320505071,0.047420808906178495,0.0387714006095999,0.04302693991119941,0.05025217696430765,0.0659906349574015,0.05567917743699492,0.044159281568526804,0.06405674336554713,0.043391078024813304,0.058856618967026236,0.06104498689828682,0.047468873054099504,0.061517587868727595,0.10526953251935162,0.0653338529531371,0.07236421798792574,,,0.036922903048643874,0.03182962669622244,0.11227177703165112,0.08499124318622492,,,0.054457119441523656,0.04097541843626004,0.1223319677936485,0.08385454401647312,0.04508634575698146,0.04871347178878636
Degree 2-4,0.11394476847192747,0.3083433689287951,0.17013950795414312,0.1414675297761515,,,0.15542917263671147,0.23339319186371454,0.22656321363938353,0.245200634529027,0.2575739519976116,,,,,,0.25716009639842347,0.21023993654844378,,,,,0.1116653123507192,0.1616789158082243,,,,,0.15151253437505008,0.22023545186839202,,,0.14811256414554985,0.14568488277031105
Degree 3-3,0.17959178949999144,0.11028387727105202,0.16674228351542544,0.10856719835433234,0.10590596071796622,0.10795326955324616,0.09386694607218081,0.07309356642832035,0.1004268355377294,0.11493153413650749,0.11912823970796205,0.1487239798879771,0.12151976484875544,0.08929707791223133,0.14921709688002957,0.19827851386208042,0.08382354170901671,,,,,,0.05252329389492317,0.04671656860631178,,,,,0.14731181196745852,0.1265475857609013,,0.1583301749425892,0.10642662248711854,0.10643441468925893
Degree 3-4,0.08138303948265384,0.2613893547292583,,0.13308371495097276,,,0.3034711772523027,,0.24832872717623375,0.15253989073219698,,,,,,,0.06740377502188351,,,,,,0.15366597145515187,0.20897126152942533,,,,,0.24460328254331914,,,,0.2072736876038392,0.18002773778823097
Degree 4-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
